,Actual,Date,Forecasted
2003-10-07,0.2702407002188183,2003-10-07,0.16121655702590942
2003-10-08,0.27403314917127064,2003-10-08,0.1796046495437622
2003-10-09,0.30640668523676884,2003-10-09,0.1994217336177826
2003-10-10,0.35702005730659025,2003-10-10,0.24932172894477844
2003-10-13,0.4067013287117276,2003-10-13,0.27468594908714294
2003-10-14,0.39488636363636354,2003-10-14,0.26843905448913574
2003-10-15,0.40702947845804993,2003-10-15,0.28341609239578247
2003-10-16,0.3556851311953353,2003-10-16,0.34296664595603943
2003-10-17,0.35497319833234076,2003-10-17,0.38845545053482056
2003-10-20,0.3515715948777649,2003-10-20,0.3621702790260315
2003-10-21,0.3283667621776505,2003-10-21,0.3442016839981079
2003-10-22,0.28081035453010705,2003-10-22,0.32033994793891907
2003-10-23,0.319747416762342,2003-10-23,0.3491528034210205
2003-10-24,0.23700054734537512,2003-10-24,0.27890193462371826
2003-10-27,0.24244090159428255,2003-10-27,0.2818206548690796
2003-10-28,0.24058577405857728,2003-10-28,0.20930245518684387
2003-10-29,0.23772204806687558,2003-10-29,0.206817165017128
2003-10-30,0.2026041666666667,2003-10-30,0.2035178393125534
2003-10-31,0.20094438614900323,2003-10-31,0.21358056366443634
2003-11-03,0.23269435569755048,2003-11-03,0.23289386928081512
2003-11-04,0.20010476689366152,2003-11-04,0.21048125624656677
2003-11-05,0.1938828408501816,2003-11-05,0.19571034610271454
2003-11-06,0.23438334223171386,2003-11-06,0.23397552967071533
2003-11-07,0.18048268625393504,2003-11-07,0.20982976257801056
2003-11-10,0.14719748559455215,2003-11-10,0.2054673433303833
2003-11-11,0.1177996886351842,2003-11-11,0.18822544813156128
2003-11-12,0.16727652901202306,2003-11-12,0.19021113216876984
2003-11-13,0.12833417211877207,2003-11-13,0.1357596069574356
2003-11-14,0.05196078431372553,2003-11-14,0.0991450771689415
2003-11-17,0.06234288587229764,2003-11-17,0.12307745218276978
2003-11-18,0.04239019407558753,2003-11-18,0.1340925544500351
2003-11-19,0.028710327455919282,2003-11-19,0.10664913058280945
2003-11-20,0.023869346733668362,2003-11-20,0.0917995348572731
2003-11-21,0.03416624171341165,2003-11-21,0.09687080979347229
2003-11-24,0.06441872169099128,2003-11-24,0.06967651098966599
2003-11-25,-0.010526315789473606,2003-11-25,0.006164473481476307
2003-11-26,-0.006663790210460818,2003-11-26,0.001554187387228012
2003-11-28,0.01455604075691408,2003-11-28,0.008657583966851234
2003-12-01,0.043749999999999956,2003-12-01,-0.004719426855444908
2003-12-02,0.03607503607503615,2003-12-02,-0.004752341657876968
2003-12-03,0.025353486104339407,2003-12-03,0.010571394115686417
2003-12-04,-0.01810584958217276,2003-12-04,-0.03802252560853958
2003-12-05,-0.006669842782277113,2003-12-05,-0.011343663558363914
2003-12-08,0.015926640926640978,2003-12-08,0.0020300280302762985
2003-12-09,0.0083826429980276,2003-12-09,0.02460525371134281
2003-12-10,-0.03320683111954459,2003-12-10,-0.01711692474782467
2003-12-11,0.02315484804630974,2003-12-11,-0.002842620015144348
2003-12-12,-0.015087223008015127,2003-12-12,-0.027209779247641563
2003-12-15,-0.010304219823356053,2003-12-15,0.012607792392373085
2003-12-16,0.02496179317371383,2003-12-16,0.05038677155971527
2003-12-17,-0.0025087807325639977,2003-12-17,0.029930023476481438
2003-12-18,0.020366598778003953,2003-12-18,0.04075644910335541
2003-12-19,0.0020345879959307034,2003-12-19,0.03442594036459923
2003-12-22,0.0076142131979697325,2003-12-22,0.026344506070017815
2003-12-23,-0.018334985133795834,2003-12-23,-0.004452235996723175
2003-12-24,0.022033049574361696,2003-12-24,0.0013136500492691994
2003-12-26,0.054287163876205025,2003-12-26,0.012057563289999962
2003-12-29,0.03982300884955747,2003-12-29,-0.020608888939023018
2003-12-30,0.047244094488189115,2003-12-30,-0.01724879816174507
2003-12-31,0.017134697762970053,2003-12-31,-0.04588533192873001
2004-01-02,-0.01845018450184499,2004-01-02,-0.07024422287940979
