,Actual,Date,Forecasted
2013-04-16,-0.008014704043611931,2013-04-16,-0.03600750118494034
2013-04-17,-0.023265102346480382,2013-04-17,-0.03735879063606262
2013-04-18,-0.049958446520051214,2013-04-18,-0.04437071830034256
2013-04-19,-0.02633462527267061,2013-04-19,-0.06794082373380661
2013-04-22,-0.04589770618790279,2013-04-22,-0.08866962045431137
2013-04-23,-0.02824219971613462,2013-04-23,-0.07630389928817749
2013-04-24,-0.02299074220870634,2013-04-24,-0.07229422777891159
2013-04-25,-0.026962670771598973,2013-04-25,-0.06376707553863525
2013-04-26,-0.04000862461368926,2013-04-26,-0.061693623661994934
2013-04-29,-0.010330952985101782,2013-04-29,-0.0485294833779335
2013-04-30,-0.0008966327804096341,2013-04-30,-0.040837109088897705
2013-05-01,-0.0013511210653163186,2013-05-01,-0.030309105291962624
2013-05-02,0.018798922267168727,2013-05-02,-0.0160368625074625
2013-05-03,0.04695527302888136,2013-05-03,-0.0022425316274166107
2013-05-06,0.0619114529408864,2013-05-06,3.291480243206024e-05
2013-05-07,0.05219293292811655,2013-05-07,0.005885554477572441
2013-05-08,0.07688040825382747,2013-05-08,0.021150503307580948
2013-05-09,0.07548962742654064,2013-05-09,0.03443213552236557
2013-05-10,0.08718689788053946,2013-05-10,0.04616495594382286
2013-05-13,0.08014327564560197,2013-05-13,0.05241096019744873
2013-05-14,0.10520020930406404,2013-05-14,0.07509507983922958
2013-05-15,0.15324079437110605,2013-05-15,0.09549480676651001
2013-05-16,0.12815936294761543,2013-05-16,0.09652626514434814
2013-05-17,0.11824756469546394,2013-05-17,0.08879243582487106
2013-05-20,0.12692600613741956,2013-05-20,0.10832475870847702
2013-05-21,0.14074232457519464,2013-05-21,0.1325409710407257
2013-05-22,0.1358406232041376,2013-05-22,0.1558837741613388
2013-05-23,0.13930438149319224,2013-05-23,0.16767950356006622
2013-05-24,0.12302449688163075,2013-05-24,0.15767879784107208
2013-05-28,0.11527753170163768,2013-05-28,0.12949161231517792
2013-05-29,0.09858424322170056,2013-05-29,0.12155978381633759
2013-05-30,0.10215809126004682,2013-05-30,0.11353890597820282
2013-05-31,0.1141892496770811,2013-05-31,0.11830080300569534
2013-06-03,0.09360071593329722,2013-06-03,0.09569838643074036
2013-06-04,0.09780719689225115,2013-06-04,0.10729007422924042
2013-06-05,0.12244977895690656,2013-06-05,0.1272459179162979
2013-06-06,0.08097565854451338,2013-06-06,0.07325999438762665
2013-06-07,0.09950582042059009,2013-06-07,0.07111417502164841
2013-06-10,0.10189379873746751,2013-06-10,0.06265948712825775
2013-06-11,0.08157314365655588,2013-06-11,0.061507463455200195
2013-06-12,0.07771598071931773,2013-06-12,0.07352465391159058
2013-06-13,0.09430760400289495,2013-06-13,0.08750403672456741
2013-06-14,0.06834664127170176,2013-06-14,0.06516192853450775
2013-06-17,0.0748026243981712,2013-06-17,0.0584365651011467
2013-06-18,0.09774142827541654,2013-06-18,0.06568100303411484
2013-06-19,0.08566675907956744,2013-06-19,0.05742497742176056
2013-06-20,0.04613820176890693,2013-06-20,0.04076884314417839
2013-06-21,0.02249434159363939,2013-06-21,0.021718084812164307
2013-06-24,0.014651843729220904,2013-06-24,0.02632361464202404
2013-06-25,-0.008504744571500411,2013-06-25,0.000512169674038887
2013-06-26,0.002490016982604315,2013-06-26,-0.0034055542200803757
2013-06-27,-0.0035899708030855404,2013-06-27,-0.020229162648320198
2013-06-28,0.00323635659179744,2013-06-28,-0.020926905795931816
2013-07-01,0.0008792695299288944,2013-07-01,-0.03463554382324219
2013-07-02,-0.03666379150334653,2013-07-02,-0.06794027239084244
2013-07-03,-0.01929481009437206,2013-07-03,-0.05180411785840988
2013-07-05,-0.0172573087837391,2013-07-05,-0.05533933639526367
2013-07-08,-0.003786336169416482,2013-07-08,-0.05029149353504181
2013-07-09,-0.001907450081039097,2013-07-09,-0.041890084743499756
2013-07-10,0.018630118504193716,2013-07-10,-0.013139469549059868
2013-07-11,0.042422320144088754,2013-07-11,0.0018427353352308273
2013-07-12,0.05688636467732322,2013-07-12,0.0219101682305336
2013-07-15,0.049269803805871204,2013-07-15,0.019460083916783333
2013-07-16,0.05907797906277712,2013-07-16,0.04373474046587944
2013-07-17,0.05488309063346963,2013-07-17,0.045196279883384705
2013-07-18,0.045295207399296045,2013-07-18,0.047058843076229095
2013-07-19,0.033387503889906966,2013-07-19,0.05117691308259964
2013-07-22,0.06006285647770926,2013-07-22,0.05758272856473923
2013-07-23,0.051296964057229166,2013-07-23,0.0522235631942749
2013-07-24,0.0442496299037749,2013-07-24,0.040824659168720245
2013-07-25,0.009059597831152733,2013-07-25,0.01688532903790474
